stop_area_gid,area_name,lon,lat
9021302000583000,Ödanböle,19.840408,60.137343
9021302000585000,Ödkarby,19.979848,60.310115
9021302000586000,Ödkarby skola,19.991636,60.30377
9021302000588000,Öjvägen vsk.,20.073003,60.070292
9021302000590000,Önningeby vsk.,20.00569,60.11089
9021302000592000,Öra macken,19.682636,60.223034
9021302000594000,Östanträsk,19.795598,60.152439
9021302000596000,Östanåkersvägen vsk.,19.905251,60.210604
9021302000598000,Östergeta 1,19.875435,60.377376
9021302000600000,Östergeta 2,19.867101,60.378084
9021302000602000,Östra skolgatan,19.935555,60.09967
9021302000604000,Överby,19.986022,60.148149
9021302000606000,Överbyvägen vsk.,19.626557,60.213468
9021302000608000,Övernäs skola,19.932325,60.099596
9021302000609000,Överö,20.510715,60.111552
9021302000610000,Tengsödavik,20.193289,60.310287
9021302000611000,Skräddarsvängen vsk.,19.884124,60.377039
9021302000612000,Jomala Torp,19.896319,60.133817
9021302000613000,Lemland Pellas,20.186498,60.075784
9021302000614000,Kulla sund,20.064826,60.240601
9021302000615000,Österkullagatan,19.981894,60.109172
9021302000616000,Doktorsvägen 1A,19.934981,60.115607
9021302000617000,Lemlandsvägen,19.957402,60.116605
9021302000618000,Gröna Udden,19.950105,60.091601
9021302000619000,Juseliusvägen,19.953264,60.089311
9021302000620000,Vedhuggsvägen,19.938835,60.113993
9021302000621000,Övernäsgården,19.95535,60.087602
9021302000622000,Solberget,19.978357,60.114962
9021302000623000,Lindstigen,19.95741,60.079729
9021302000624000,Stenhuggarvägen,19.930606,60.111391
9021302000625000,Musikinstitutet,19.940394,60.111079
9021302000626000,Källstigen,19.959691,60.081477
9021302000627000,Cedersvägen,19.933908,60.109494
9021302000628000,Sälgstigen,19.959119,60.084597
9021302000629000,Klintvägen,19.933162,60.107562
9021302000630000,Kalmarnäs vändplan,19.985222,60.092878
9021302000631000,Hotell & Restaurangskolan,19.941576,60.107611
9021302000632000,Vikingagränd,19.93595,60.122784
9021302000633000,Bolstavägen,19.944736,60.123838
9021302000634000,Lillåkersvägen,19.947856,60.123694
9021302000635000,Högbackagatan,19.949371,60.121913
9021302000636000,Backebergs sportfält,19.949834,60.119944
9021302000637000,Elverksgatan,19.93081,60.106584
9021302000638000,Uppgårdsvägen 10,19.934244,60.119451
9021302000639000,Hindersbölevägen,19.952439,60.119573
9021302000640000,Doktorsvägen 1B/1C,19.934761,60.116367
9021302000641000,Hjortronstigen,19.933564,60.121154
9021302000642000,Räddningsverket,19.927555,60.106074
9021302000643000,Örtvägen,19.95778,60.119582
9021302000644000,Strandgränd,19.942099,60.104447
9021302000645000,Havsörnsvägen,19.952365,60.076724
9021302000646000,Ytternäs skola,19.940225,60.082786
9021302000647000,Lotsgatan,19.935341,60.084609
9021302000648000,Baltichallen,19.941523,60.086595
9021302000649000,Parkgatan,19.947241,60.093126
9021302000650000,Neptunigatan,19.93168,60.092754
9021302000651000,Skillnadsgatan,19.937559,60.093126
9021302000652000,Torggatan,19.943902,60.093602
9021302000653000,Stadshuset,19.943129,60.095067
9021302000654000,Hamngatan,19.92766,60.094748
9021302000655000,Ukrainaplatsen,19.93084,60.096662
9021302000656000,Torget,19.942512,60.097605
9021302000657000,Kyrkan,19.936185,60.097365
9021302000658000,Östra Esplanadgatan,19.935161,60.097727
9021302000659000,Norragatan,19.933721,60.098398
9021302000660000,Ålands lyceum,19.936725,60.099817
9021302000661000,Idrottsgården,19.930118,60.100757
9021302000662000,"Centrum, Nygatan",19.941426,60.100122
9021302000663000,Yrkesgymnasiet,19.928842,60.102134
9021302000664000,Möckelö Strand,19.89306,60.102273
9021302000665000,Eckeröhallen,19.548639,60.228806
9021302000666000,Svinryggen,19.812888,60.144256
9021302000667000,Jakt- och fiskemuséet vsk,19.545728,60.230609
9021302000668000,Jomala skola södra,19.952267,60.147869
9021302000669000,Buskböle,19.930917,60.191278
9021302000670000,Österkalmare,19.988167,60.128361
9021302000671000,Dalkullavägen,19.918852,60.129522
9021302000672000,Länsmansgränd,19.924902,60.121747
9021302000673000,Åbrinken,19.926053,60.119748
9021302000674000,Åsvägen,19.928598,60.115358
9021302000675000,Kasbrinken,19.927047,60.118044
9021302000676000,Kasbergsvägen,19.923523,60.124299
9021302000677000,Norrgårdsvägen,19.899083,60.105353
9021302000678000,Långnäs hamn,20.297342,60.116378
9021302000679000,Polishuset,19.94257,60.102482
9021302000680000,Timskär,20.365235,60.331422
9021302000681000,Vattungs revet,20.372568,60.322174
9021302001001000,Sottunga,20.681985,60.109837
9021302001002000,Husö,20.807327,60.064691
9021302001003000,Kyrkogårdsö,20.824804,60.031246
9021302001004000,Kökar,20.890769,59.945281
9021302001005000,Enklinge,20.751463,60.318215
9021302001006000,Lappo,20.995991,60.317462
9021302001007000,Bergö,20.392849,60.162687
9021302001008000,Asterholma,21.033883,60.304044
9021302001010000,Osnäs,21.247329,60.507046
9021302001011000,Galtby,21.58509,60.18502
9021302001013000,Ängösund (Lumparland),20.289572,60.153004
9021302001014000,Ängösund (Ängö),20.294455,60.154101
9021302001015000,Embarsund (Finholma),20.526723,60.074426
9021302001016000,Embarsund (Jyddö),20.527154,60.07647
9021302001017000,Seglinge (Seglinge),20.710154,60.215173
9021302001018000,Seglinge (Snäckö),20.726356,60.219478
9021302001019000,Björkö (Björkö),20.941831,60.31094
9021302001020000,Björkö (Lappo),20.952221,60.311251
9021302001021000,Åva,21.0579,60.503347
9021302001022000,Jurmo,21.075031,60.515968
9021302001023000,Torsholma,21.038087,60.35657
