Gid,Name,ShortName,Designation,LocalNumber,IsJourneyPatternPointGid,IsIncludedInStopAreaGid,TypeCode,ForAlightingYesNo,ForBoardingYesNo,OrientationDegrees,LengthMeters,LastModifiedUtcDateTime,ExistsFromDate,ExistsUptoDate,CoordinateSystemName,CentroidNorthingCoordinate,CentroidEastingCoordinate,lon,lat
9022302000398001,Skag vsk.,,A,1,9025302000039801,9021302000398000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.084675,20.237988,20.237988,60.084675
9022302000402002,Skarpans vsk.,,B,2,9025302000040202,9021302000402000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.211898,20.224231,20.224231,60.211898
9022302000404001,Skeppsviksvägen vsk.,,A,1,9025302000040401,9021302000404000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.190246,19.577132,19.577132,60.190246
9022302000412001,Slottsvägen vsk.,,A,1,9025302000041201,9021302000412000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.24029,20.071466,20.071466,60.24029
9022302000418001,Smedsböle vsk.,,A,1,9025302000041801,9021302000418000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.223605,20.161875,20.161875,60.223605
9022302000455001,Sundsvägen 871 vsk.,,A,1,9025302000045501,9021302000455000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.221805,20.113601,20.113601,60.221805
9022302000499002,Tjudö vsk.,,B,2,9025302000049902,9021302000499000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.314466,19.941328,19.941328,60.314466
9022302000510001,Tosarby vsk.,,A,1,9025302000051001,9021302000510000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.223614,20.104958,20.104958,60.223614
9022302000529001,Vargata centrum,,A,1,9025302000052901,9021302000529000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.245909,20.351116,20.351116,60.245909
9022302000539002,Vestmyravägen vsk. 1,,B,2,9025302000053902,9021302000539000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.196978,19.778758,19.778758,60.196978
9022302000541002,Vestmyravägen vsk. 2,,B,2,9025302000054102,9021302000541000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.193644,19.739425,19.739425,60.193644
9022302000561001,Västra Möckelö vsk.,,A,1,9025302000056101,9021302000561000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.107112,19.898805,19.898805,60.107112
9022302000566001,Ytterängsvägen vsk.,,A,1,9025302000056601,9021302000566000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.302566,19.996131,19.996131,60.302566
9022302000569001,Åttbölevägen vsk.,,A,1,9025302000056901,9021302000569000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.251229,19.907191,19.907191,60.251229
9022302000463001,Svinö färjfäste,,A,1,9025302000046301,9021302000463000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.066535,20.267584,20.267584,60.066535
9022302000463002,Svinö färjfäste,,B,2,9025302000046302,9021302000463000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.066535,20.267584,20.267584,60.066535
9022302000508002,Torrbolstad,,B,2,9025302000050802,9021302000508000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.277505,19.906185,19.906185,60.277505
9022302000543001,Vikingahallen,,A,1,9025302000054301,9021302000543000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.147933,19.949531,19.949531,60.147933
9022302000543002,Vikingahallen,,B,2,9025302000054302,9021302000543000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.147933,19.949531,19.949531,60.147933
9022302000545001,Vårdö kyrka,,A,1,9025302000054501,9021302000545000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.24292,20.37048,20.37048,60.24292
9022302000549001,Västanträsk 1,,A,1,9025302000054901,9021302000549000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.333835,19.92543,19.92543,60.333835
