from_area,from_name,to_area,to_name,period,trips
9021302000123000,Godbyhallen vsk.,9021302000266000,Labbnäs,pm,1.5353
9021302000662000,"Centrum, Nygatan",9021302000664000,Möckelö Strand,pm,1.5223
9021302000189000,Jomala skola,9021302000209000,Kattby södra,pm,1.5191
9021302000261000,Källbo skola,9021302000157000,Haraldsby,pm,1.5103
9021302000121000,Godby högstadium,9021302000308000,"Mariehamn, Bussplan",pm,1.4779
9021302000308000,"Mariehamn, Bussplan",9021302000396000,Sjukhuset,pm,1.4573
9021302000662000,"Centrum, Nygatan",9021302000648000,Baltichallen,pm,1.4555
9021302000662000,"Centrum, Nygatan",9021302000324000,Nabben,pm,1.4511
9021302000608000,Övernäs skola,9021302000193000,Järsö,pm,1.4477
9021302000123000,Godbyhallen vsk.,9021302000095000,Finströms kyrka,pm,1.4406
9021302000662000,"Centrum, Nygatan",9021302000193000,Järsö,pm,1.4339
9021302000608000,Övernäs skola,9021302000334000,Nåtö by vsk.,pm,1.4247
9021302000662000,"Centrum, Nygatan",9021302000334000,Nåtö by vsk.,pm,1.4028
9021302000662000,"Centrum, Nygatan",9021302000630000,Kalmarnäs vändplan,pm,1.3806
9021302000308000,"Mariehamn, Bussplan",9021302000630000,Kalmarnäs vändplan,pm,1.3418
9021302000445000,Strandnäs skola södra,9021302000615000,Österkullagatan,pm,1.3021
9021302000608000,Övernäs skola,9021302000017000,Bergö/Idskärsvägen vsk.,pm,1.3008
9021302000668000,Jomala skola södra,9021302000207000,Kattby,pm,1.296
9021302000662000,"Centrum, Nygatan",9021302000017000,Bergö/Idskärsvägen vsk.,pm,1.2823
9021302000662000,"Centrum, Nygatan",9021302000097000,Skrakvägen,pm,1.2646
9021302000123000,Godbyhallen vsk.,9021302000255000,Kvarnbo,pm,1.2583
9021302000662000,"Centrum, Nygatan",9021302000621000,Övernäsgården,pm,1.2052
9021302000668000,Jomala skola södra,9021302000251000,Kungsö vsk.,pm,1.2052
9021302000548000,Vårdö skola,9021302000449000,Strömsby vsk.,pm,1.1917
9021302000662000,"Centrum, Nygatan",9021302000643000,Örtvägen,pm,1.1856
9021302000121000,Godby högstadium,9021302000585000,Ödkarby,pm,1.1695
9021302000308000,"Mariehamn, Bussplan",9021302000523000,Valborg,pm,1.1381
9021302000261000,Källbo skola,9021302000117000,Geta centrum,pm,1.1373
9021302000668000,Jomala skola södra,9021302000129000,Gottby by,pm,1.1275
9021302000261000,Källbo skola,9021302000266000,Labbnäs,pm,1.1146
9021302000261000,Källbo skola,9021302000585000,Ödkarby,pm,1.0922
9021302000189000,Jomala skola,9021302000408000,Skolsvängen vsk.,pm,1.0905
9021302000662000,"Centrum, Nygatan",9021302000623000,Lindstigen,pm,1.0699
9021302000429000,Torget,9021302000662000,"Centrum, Nygatan",pm,1.0482
9021302000261000,Källbo skola,9021302000095000,Finströms kyrka,pm,1.0436
9021302000121000,Godby högstadium,9021302000453000,Stålsby,pm,1.0054
9021302000657000,Kyrkan,9021302000662000,"Centrum, Nygatan",pm,1.0004
9021302000123000,Godbyhallen vsk.,9021302000322000,Mörslättsvägen vsk.,pm,0.9947
9021302000189000,Jomala skola,9021302000588000,Öjvägen vsk.,pm,0.9915
9021302000668000,Jomala skola södra,9021302000107000,Frebbenby,pm,0.99
9021302000679000,Polishuset,9021302000662000,"Centrum, Nygatan",pm,0.9663
9021302000121000,Godby högstadium,9021302000123000,Godbyhallen vsk.,pm,0.9646
9021302000662000,"Centrum, Nygatan",9021302000312000,Maxinge,pm,0.9443
9021302000463000,Svinö färjfäste,9021302000308000,"Mariehamn, Bussplan",pm,0.9414
9021302000261000,Källbo skola,9021302000453000,Stålsby,pm,0.9338
9021302000608000,Övernäs skola,9021302000137000,Granö vändplan,pm,0.9229
9021302000435000,Storby,9021302000386000,Sandmovägen vsk.,pm,0.9137
9021302000662000,"Centrum, Nygatan",9021302000137000,Granö vändplan,pm,0.9068
9021302000125000,Godbyvägen 1285,9021302000412000,Slottsvägen vsk.,pm,0.8907
9021302000189000,Jomala skola,9021302000216000,Klemetsby,pm,0.8839
9021302000308000,"Mariehamn, Bussplan",9021302000427000,Sportkila,pm,0.8743
9021302000646000,Ytternäs skola,9021302000662000,"Centrum, Nygatan",pm,0.8657
9021302000362000,Prästgården,9021302000535000,Vessingsboda,pm,0.8631
9021302000659000,Norragatan,9021302000193000,Järsö,pm,0.8625
9021302000189000,Jomala skola,9021302000207000,Kattby,pm,0.8581
9021302000123000,Godbyhallen vsk.,9021302000326000,Nabbenvägen vsk.,pm,0.8559
9021302000659000,Norragatan,9021302000334000,Nåtö by vsk.,pm,0.8486
9021302000492000,Tekniska verken,9021302000308000,"Mariehamn, Bussplan",pm,0.8456
9021302000308000,"Mariehamn, Bussplan",9021302000209000,Kattby södra,pm,0.844
